"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1639,8982811,14810,51,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",232,189,255,0.909804,0.741176,1,1997729,18.4
"2",1615,7902840,13022,51,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,150,0.298039,0.901961,0.588235,1757549,16.2
"3",1614,7452646,13022,51,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,1657429,15.3
"4",1637,5637771,14770,51,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,1253810,11.6
"5",1623,4038219,13651,51,"13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",490,524,-9999,253,52,48,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,898078,8.3
"6",1625,2829923,13660,51,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,629360,5.8
"7",1624,2409214,13652,51,"13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",872,1306,-9999,523,60,40,-9999,"V-B",110,137,70,0.431373,0.537255,0.27451,535796,4.9
"8",1620,1542993,13441,51,"13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","Conifer",34,64,7,5,15,8,77,"I-A",255,140,140,1,0.54902,0.54902,343153,3.2
"9",11,1462888,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,325338,3
"10",1561,1318677,13022,50,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,293267,2.7
"11",1622,1027905,13620,51,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",309,447,65,48,16,11,73,"III-A",255,191,191,1,0.74902,0.74902,228601,2.1
"12",1562,785317,13022,50,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,150,0.298039,0.901961,0.588235,174650,1.6
"13",1581,476606,14770,50,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,105995,1
"14",1616,457794,13023,51,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood ","Hardwood",1016,-9999,-9999,1016,100,-9999,-9999,"V-B",38,105,0,0.14902,0.411765,0,101811,0.9
"15",1596,361730,13651,41,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,-9999,213,85,15,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,80447,0.7
"16",1633,277271,14440,51,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",-9999,581,312,203,-9999,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765,61664,0.6
"17",1621,236690,13442,51,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","Conifer",112,-9999,-9999,112,100,-9999,-9999,"IV-B",135,200,114,0.529412,0.784314,0.447059,52639,0.5
"18",1628,257457,14071,51,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258824,0,57257,0.5
"19",1636,231609,14750,51,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,51509,0.5
"20",1583,218888,14810,50,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",232,189,255,0.909804,0.741176,1,48680,0.4
"21",1597,127891,13652,41,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,-9999,516,55,45,-9999,"V-B",110,137,70,0.431373,0.537255,0.27451,28442,0.3
"22",1629,148909,14072,51,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258824,0.392157,33117,0.3
"23",1640,139107,14920,51,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,30937,0.3
"24",2726,104191,13622,50,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,-9999,40,34,15,-9999,85,"I-C",255,167,127,1,0.654902,0.498039,23172,0.2
"25",1580,37579,14750,50,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,8357,0.1
"26",1584,41414,14920,50,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,9210,0.1
"27",1586,29956,14940,50,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,-9999,-9999,18,100,-9999,-9999,"II-C",0,168,107,0,0.658824,0.419608,6662,0.1
"28",1608,38474,14770,41,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,8556,0.1
"29",1610,61509,14810,41,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",232,189,255,0.909804,0.741176,1,13679,0.1
"30",-1111,1334,-1111,-1111,"-1111","Fill-Not Mapped","Fill-Not Mapped",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",111,111,111,0.435294,0.435294,0.435294,297,0
"31",31,9470,31,0,"0","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902,2106,0
"32",1563,336,13100,50,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",123,49,76,24,20,48,32,"I-C",176,163,222,0.690196,0.639216,0.870588,75,0
"33",1568,6802,13651,50,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,-9999,213,85,15,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,1513,0
"34",1569,11671,13660,50,"13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",483,1018,291,154,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,2596,0
"35",1570,31,13940,50,"13940_50_51","North-Central Interior Oak Savanna","Hardwood",66,184,5,5,7,3,90,"I-A",230,213,138,0.901961,0.835294,0.541176,7,0
"36",1573,4076,14072,50,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258824,0.392157,906,0
"37",1575,1850,14120,50,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,411,0
