"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1464220,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,325635,3
"2",13,294019,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,65388,0.6
"3",14,131688,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,29287,0.3
"4",15,29303,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,6517,0.1
"5",16,66241,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,14732,0.1
"6",17,1301,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,289,0
"7",22,162198,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,36072,0.3
"8",23,75376,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,16763,0.2
"9",24,37149,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,8262,0.1
"10",25,1221811,278209151,"Developed-Roads",0,0,0,0,0,0,271724,2.5
"11",31,9470,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,2106,0
"12",32,39673,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,8823,0.1
"13",63,42312,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,9410,0.1
"14",64,157440,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,35014,0.3
"15",65,149010,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,33139,0.3
"16",68,13477,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,2997,0
"17",69,2653,2081810,"NASS-Aquaculture",214,210,77,0.839215686,0.823529412,0.301960784,590,0
"18",101,5489,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,1221,0
"19",102,23293,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,5180,0
"20",103,57595,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,12809,0.1
"21",104,95377,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,21211,0.2
"22",105,132568,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,29482,0.3
"23",106,182009,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,40478,0.4
"24",107,230359,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,51231,0.5
"25",108,323211,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,71880,0.7
"26",109,449574,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,99983,0.9
"27",110,728917,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,162107,1.5
"28",111,1167512,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,259648,2.4
"29",112,1747340,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,388599,3.6
"30",113,2455641,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,546121,5
"31",114,3271912,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,727656,6.7
"32",115,4134796,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,919556,8.5
"33",116,4688028,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,1042592,9.6
"34",117,4884363,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,1086256,10
"35",118,4862368,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,1081365,10
"36",119,4141431,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,921032,8.5
"37",120,3042100,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,676547,6.2
"38",121,2150539,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,478268,4.4
"39",122,1405416,130787915,"Tree Height = 22 meters",71,164,64,0.278431373,0.643137255,0.250980392,312557,2.9
"40",123,848735,108221951,"Tree Height = 23 meters",66,154,60,0.258823529,0.603921569,0.235294118,188754,1.7
"41",124,368620,87181121,"Tree Height = 24 meters",62,143,56,0.243137255,0.560784314,0.219607843,81979,0.8
"42",203,2,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,0,0
"43",206,19940,147479762,"Shrub Height = 0.6 meter",229,214,177,0.898039216,0.839215686,0.694117647,4435,0
"44",207,16313,156580406,"Shrub Height = 0.7 meter",227,211,172,0.890196078,0.82745098,0.674509804,3628,0
"45",208,17797,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,3958,0
"46",209,17546,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,3902,0
"47",210,30375,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,6755,0.1
"48",211,32106,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,7140,0.1
"49",212,42269,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,9400,0.1
"50",213,31303,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,6962,0.1
"51",214,31331,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,6968,0.1
"52",215,21099,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,4692,0
"53",216,22408,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,4983,0
"54",217,15950,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,3547,0
"55",218,17560,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,3905,0
"56",219,13139,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,2922,0
"57",220,16131,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,3587,0
"58",221,13348,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,2969,0
"59",222,16136,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,3589,0
"60",223,12780,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,2842,0
"61",224,17695,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,3935,0
"62",225,7830,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,1741,0
"63",226,12077,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,2686,0
"64",227,1213,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,270,0
"65",228,2356,6510582,"Shrub Height = 2.8 meters",62,38,24,0.243137255,0.149019608,0.094117647,524,0
"66",229,376,4373514,"Shrub Height = 2.9 meters",56,34,21,0.219607843,0.133333333,0.082352941,84,0
"67",230,58,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,13,0
"68",303,207042,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,46045,0.4
"69",304,23331,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,5189,0
"70",305,82702,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,18392,0.2
"71",306,448301,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,99700,0.9
"72",307,691271,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,153735,1.4
"73",308,849578,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,188942,1.7
"74",309,332888,31361779,"Herb Height = 0.9 meter",0,107,117,0,0.419607843,0.458823529,74033,0.7
"75",310,376815,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,83802,0.8
